dataset,section,item,value,details
Connectionist Bench Sonar,column_role,feature_28,feature,
Connectionist Bench Sonar,data_type,feature_28,float64,
Connectionist Bench Sonar,missing_values,feature_28,0,
Connectionist Bench Sonar,numeric_range,feature_28,0.0284,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_28,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_29,feature,
Connectionist Bench Sonar,data_type,feature_29,float64,
Connectionist Bench Sonar,missing_values,feature_29,0,
Connectionist Bench Sonar,numeric_range,feature_29,0.0144,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_29,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_30,feature,
Connectionist Bench Sonar,data_type,feature_30,float64,
Connectionist Bench Sonar,missing_values,feature_30,0,
Connectionist Bench Sonar,numeric_range,feature_30,0.0613,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_30,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_31,feature,
Connectionist Bench Sonar,data_type,feature_31,float64,
Connectionist Bench Sonar,missing_values,feature_31,0,
Connectionist Bench Sonar,numeric_range,feature_31,0.0482,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_31,0.9657,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_32,feature,
Connectionist Bench Sonar,data_type,feature_32,float64,
Connectionist Bench Sonar,missing_values,feature_32,0,
Connectionist Bench Sonar,numeric_range,feature_32,0.0404,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_32,0.9306,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_33,feature,
Connectionist Bench Sonar,data_type,feature_33,float64,
Connectionist Bench Sonar,missing_values,feature_33,0,
Connectionist Bench Sonar,numeric_range,feature_33,0.0477,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_33,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_34,feature,
Connectionist Bench Sonar,data_type,feature_34,float64,
Connectionist Bench Sonar,missing_values,feature_34,0,
Connectionist Bench Sonar,numeric_range,feature_34,0.0212,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_34,0.9647,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_35,feature,
Connectionist Bench Sonar,data_type,feature_35,float64,
Connectionist Bench Sonar,missing_values,feature_35,0,
Connectionist Bench Sonar,numeric_range,feature_35,0.0223,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_35,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_36,feature,
Connectionist Bench Sonar,data_type,feature_36,float64,
Connectionist Bench Sonar,missing_values,feature_36,0,
Connectionist Bench Sonar,numeric_range,feature_36,0.008,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_36,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_37,feature,
Connectionist Bench Sonar,data_type,feature_37,float64,
Connectionist Bench Sonar,missing_values,feature_37,0,
Connectionist Bench Sonar,numeric_range,feature_37,0.0351,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_37,0.9497,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_38,feature,
Connectionist Bench Sonar,data_type,feature_38,float64,
Connectionist Bench Sonar,missing_values,feature_38,0,
Connectionist Bench Sonar,numeric_range,feature_38,0.0383,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_38,1.0,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_39,feature,
Connectionist Bench Sonar,data_type,feature_39,float64,
Connectionist Bench Sonar,missing_values,feature_39,0,
Connectionist Bench Sonar,numeric_range,feature_39,0.0371,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_39,0.9857,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_40,feature,
Connectionist Bench Sonar,data_type,feature_40,float64,
Connectionist Bench Sonar,missing_values,feature_40,0,
Connectionist Bench Sonar,numeric_range,feature_40,0.0117,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_40,0.9297,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_41,feature,
Connectionist Bench Sonar,data_type,feature_41,float64,
Connectionist Bench Sonar,missing_values,feature_41,0,
Connectionist Bench Sonar,numeric_range,feature_41,0.036,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_41,0.8995,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_42,feature,
Connectionist Bench Sonar,data_type,feature_42,float64,
Connectionist Bench Sonar,missing_values,feature_42,0,
Connectionist Bench Sonar,numeric_range,feature_42,0.0056,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_42,0.8246,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_43,feature,
Connectionist Bench Sonar,data_type,feature_43,float64,
Connectionist Bench Sonar,missing_values,feature_43,0,
Connectionist Bench Sonar,numeric_range,feature_43,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_43,0.7733,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_44,feature,
Connectionist Bench Sonar,data_type,feature_44,float64,
Connectionist Bench Sonar,missing_values,feature_44,0,
Connectionist Bench Sonar,numeric_range,feature_44,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_44,0.7762,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_45,feature,
Connectionist Bench Sonar,data_type,feature_45,float64,
Connectionist Bench Sonar,missing_values,feature_45,0,
Connectionist Bench Sonar,numeric_range,feature_45,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_45,0.7034,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_46,feature,
Connectionist Bench Sonar,data_type,feature_46,float64,
Connectionist Bench Sonar,missing_values,feature_46,0,
Connectionist Bench Sonar,numeric_range,feature_46,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_46,0.7292,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_47,feature,
Connectionist Bench Sonar,data_type,feature_47,float64,
Connectionist Bench Sonar,missing_values,feature_47,0,
Connectionist Bench Sonar,numeric_range,feature_47,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_47,0.5522,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_48,feature,
Connectionist Bench Sonar,data_type,feature_48,float64,
Connectionist Bench Sonar,missing_values,feature_48,0,
Connectionist Bench Sonar,numeric_range,feature_48,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_48,0.3339,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_49,feature,
Connectionist Bench Sonar,data_type,feature_49,float64,
Connectionist Bench Sonar,missing_values,feature_49,0,
Connectionist Bench Sonar,numeric_range,feature_49,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_49,0.1981,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_50,feature,
Connectionist Bench Sonar,data_type,feature_50,float64,
Connectionist Bench Sonar,missing_values,feature_50,0,
Connectionist Bench Sonar,numeric_range,feature_50,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_50,0.0825,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_51,feature,
Connectionist Bench Sonar,data_type,feature_51,float64,
Connectionist Bench Sonar,missing_values,feature_51,0,
Connectionist Bench Sonar,numeric_range,feature_51,0.0,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_51,0.1004,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_52,feature,
Connectionist Bench Sonar,data_type,feature_52,float64,
Connectionist Bench Sonar,missing_values,feature_52,0,
Connectionist Bench Sonar,numeric_range,feature_52,0.0008,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_52,0.0709,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_53,feature,
Connectionist Bench Sonar,data_type,feature_53,float64,
Connectionist Bench Sonar,missing_values,feature_53,0,
Connectionist Bench Sonar,numeric_range,feature_53,0.0005,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_53,0.039,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_54,feature,
Connectionist Bench Sonar,data_type,feature_54,float64,
Connectionist Bench Sonar,missing_values,feature_54,0,
Connectionist Bench Sonar,numeric_range,feature_54,0.001,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_54,0.0352,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_55,feature,
Connectionist Bench Sonar,data_type,feature_55,float64,
Connectionist Bench Sonar,missing_values,feature_55,0,
Connectionist Bench Sonar,numeric_range,feature_55,0.0006,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_55,0.0447,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_56,feature,
Connectionist Bench Sonar,data_type,feature_56,float64,
Connectionist Bench Sonar,missing_values,feature_56,0,
Connectionist Bench Sonar,numeric_range,feature_56,0.0004,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_56,0.0394,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_57,feature,
Connectionist Bench Sonar,data_type,feature_57,float64,
Connectionist Bench Sonar,missing_values,feature_57,0,
Connectionist Bench Sonar,numeric_range,feature_57,0.0003,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_57,0.0355,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_58,feature,
Connectionist Bench Sonar,data_type,feature_58,float64,
Connectionist Bench Sonar,missing_values,feature_58,0,
Connectionist Bench Sonar,numeric_range,feature_58,0.0003,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_58,0.044,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_59,feature,
Connectionist Bench Sonar,data_type,feature_59,float64,
Connectionist Bench Sonar,missing_values,feature_59,0,
Connectionist Bench Sonar,numeric_range,feature_59,0.0001,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_59,0.0364,role=feature; maximum
Connectionist Bench Sonar,column_role,feature_60,feature,
Connectionist Bench Sonar,data_type,feature_60,float64,
Connectionist Bench Sonar,missing_values,feature_60,0,
Connectionist Bench Sonar,numeric_range,feature_60,0.0006,role=feature; minimum
Connectionist Bench Sonar,numeric_range,feature_60,0.0439,role=feature; maximum
Connectionist Bench Sonar,column_role,target,target,
Connectionist Bench Sonar,data_type,target,str,
Connectionist Bench Sonar,missing_values,target,0,
Connectionist Bench Sonar,class_distribution,M,111,target values
Connectionist Bench Sonar,class_distribution,R,97,target values
